Наименование,Ед.изм,Вес,Артикул
Кофе жаренный в зернах ARABICA 100%,штук,0.2500,058
Кофе жаренный в зернах GRAN AROMA,штук,0.5000,054
Кофе жаренный в зернах ESPRESSO CASA,штук,0.5000,167
Кофе жаренный в зернах CORTINA,штук,0.5000,1277
Кофе жаренный в зернах PORTOFINA,штук,0.5000,1278
Кофе жаренный в зернах AMALFI,штук,0.5000,1279
Кофе жаренный в зернах CREMA 800,штук,1.0000,052
Кофе жаренный в зернах RICCO 700,штук,1.0000,053
Кофе жаренный в зернах ANTICA BOTTEGA,штук,1.0000,048
Кофе жаренный в зернах ESPRESSO SACK,штук,1.0000,013
Кофе жаренный в зернах GRAN AROMA SACKS,штук,1.0000,009
